municipio;hombres;mujeres;total;mesas;puestos;codigo_municpio;censo_electoral
MEDELLÍN;878580;1029786;1908366;5375;250;05001;1908366
ABEJORRAL;8127;7337;15464;48;7;05002;15464
ABRIAQUÍ;1111;935;2046;7;2;05004;2046
ALEJANDRÍA;2503;2265;4768;14;1;05021;4768
AMAGÁ;12291;12639;24930;74;9;05030;24930
AMALFI;9880;9283;19163;57;5;05031;19163
ANDES;19243;17280;36523;111;17;05034;36523
ANGELÓPOLIS;3142;2872;6014;19;3;05036;6014
ANGOSTURA;5000;4521;9521;28;4;05038;9521
ANORÍ;7414;6429;13843;43;8;05040;13843
SANTA FÉ DE ANTIOQUIA;12526;12143;24669;76;11;05042;24669
ANZÁ;3592;3131;6723;20;3;05044;6723
APARTADÓ;54789;56131;110920;325;24;05045;110920
ARBOLETES;12103;11495;23598;73;9;05051;23598
ARGELIA;3679;3186;6865;23;7;05055;6865
ARMENIA;2441;2153;4594;14;2;05059;4594
BARBOSA;23575;23717;47292;140;10;05079;47292
BELMIRA;2794;2666;5460;19;5;05086;5460
BELLO;177916;205544;383460;1050;55;05088;383460
BETANIA;4585;3839;8424;25;2;05091;8424
BETULIA;7375;6527;13902;42;6;05093;13902
CIUDAD BOLÍVAR;12473;11496;23969;71;8;05101;23969
BURITICÁ;4653;3966;8619;27;6;05113;8619
BRICEÑO;3789;3072;6861;23;9;05107;6861
CÁCERES;11280;10066;21346;64;8;05120;21346
CAICEDO;3892;3457;7349;21;2;05125;7349
CALDAS;35635;38025;73660;214;15;05129;73660
CAMPAMENTO;3944;3299;7243;22;3;05134;7243
CAÑASGORDAS;7934;7081;15015;44;6;05138;15015
CARACOLÍ;2599;2271;4870;16;4;05142;4870
CARAMANTA;2661;2323;4984;16;4;05145;4984
CAREPA;25834;24176;50010;150;16;05147;50010
EL CARMEN DE VIBORAL;23426;24596;48022;143;15;05148;48022
CAROLINA;2197;2117;4314;13;1;05150;4314
CAUCASIA;38655;40059;78714;236;28;05154;78714
CISNEROS;6477;6404;12881;37;1;05190;12881
COCORNÁ;7566;7300;14866;46;8;05197;14866
CONCEPCIÓN;2357;2217;4574;13;1;05206;4574
CONCORDIA;8578;7838;16416;49;4;05209;16416
COPACABANA;38555;39735;78290;229;15;05212;78290
CHIGORODÓ;27071;27161;54232;160;10;05172;54232
