codigo_municipio,clase,cod_manzana,mos,secu,lat,lon,partes
05001,1,0500110000000001010101,55,05001100000000010101,6.30128803,-75.5425632,1
05001,1,0500110000000001010104,53,05001100000000010101,6.29938372,-75.54237187,1
05001,1,0500110000000001010105,73,05001100000000010101,6.29933274,-75.54281741,1
05001,1,0500110000000001010108,48,05001100000000010101,6.29993543,-75.54369924,1
05001,1,0500110000000001010109,24,05001100000000010101,6.29899407,-75.54482999,1
05001,1,0500110000000001010110,22,05001100000000010101,6.3019295,-75.5437871,1
05001,1,0500110000000001010111,60,05001100000000010101,6.30103907,-75.5454086,1
05001,1,0500110000000001010112,49,05001100000000010101,6.30248087,-75.54380658,1
05001,1,0500110000000001010114,60,05001100000000010101,6.29996267,-75.54316919,1
05001,1,0500110000000001010115,217,05001100000000010101,6.3015008,-75.54412839,1
05001,1,0500110000000001010116,128,05001100000000010101,6.30070541,-75.54510162,1
05001,1,0500110000000001010118,9,05001100000000010101,6.30035106,-75.54289131,1
05001,1,0500110000000001010119,69,05001100000000010101,6.30102871,-75.5439847,1
05001,1,0500110000000001010120,18,05001100000000010101,6.30031997,-75.54372024,1
05001,1,0500110000000001010121,26,05001100000000010101,6.29937965,-75.54458993,1
05001,1,0500110000000001010122,216,05001100000000010101,6.30001572,-75.54457837,1
05001,1,0500110000000001010123,77,05001100000000010101,6.30127803,-75.54312861,1
05001,1,0500110000000001010124,23,05001100000000010101,6.30077814,-75.54308134,1
05001,1,0500110000000001010125,66,05001100000000010101,6.30012189,-75.54266917,1
05001,1,0500110000000001010126,19,05001100000000010101,6.30055825,-75.54337674,1
05001,1,0500110000000001010203,36,05001100000000010102,6.29861085,-75.54605464,1
05001,1,0500110000000001010204,50,05001100000000010102,6.29810731,-75.54564794,1
05001,1,0500110000000001010205,40,05001100000000010102,6.29772179,-75.54589009,1
05001,1,0500110000000001010206,48,05001100000000010102,6.29733415,-75.54609925,1
05001,1,0500110000000001010207,67,05001100000000010102,6.29783308,-75.54664159,1
05001,1,0500110000000001010208,53,05001100000000010102,6.29803244,-75.54631343,1
05001,1,0500110000000001010209,70,05001100000000010102,6.29925629,-75.54589962,1
05001,1,0500110000000001010211,125,05001100000000010102,6.29975706,-75.54560796,1
05001,1,0500110000000001010212,77,05001100000000010102,6.30022781,-75.54540258,1
05001,1,0500110000000001010213,42,05001100000000010102,6.29946326,-75.5454533,1
05001,1,0500110000000001010214,42,05001100000000010102,6.29748055,-75.54580143,1
05001,1,0500110000000001010215,33,05001100000000010102,6.29859092,-75.54552992,1
05001,1,0500110000000001010301,36,05001100000000010103,6.29701866,-75.54616296,1
05001,1,0500110000000001010302,70,05001100000000010103,6.29661949,-75.546202160000007,1
05001,1,0500110000000001010303,50,05001100000000010103,6.29652746,-75.5468354,1
05001,1,0500110000000001010304,69,05001100000000010103,6.29612479,-75.54629544,1
05001,1,0500110000000001010305,40,05001100000000010103,6.29570541,-75.5465022,1
05001,1,0500110000000001010306,32,05001100000000010103,6.2963684,-75.54597586,1
05001,1,0500110000000001010307,54,05001100000000010103,6.29726989,-75.54670373,1
05001,1,0500110000000001010309,86,05001100000000010103,6.29578769,-75.54741633,1
05001,1,0500110000000001010310,36,05001100000000010103,6.29571387,-75.54689721,1
05001,1,0500110000000001010313,64,05001100000000010103,6.29571131,-75.54610641,1
05001,1,0500110000000001010314,112,05001100000000010103,6.29499956,-75.54615451,1
05001,1,0500110000000001010316,35,05001100000000010103,6.2954122,-75.54696467,1
05001,1,0500110000000001010318,8,05001100000000010103,6.29522691,-75.54755585,1
05001,1,0500110000000001010319,55,05001100000000010103,6.29467839,-75.5470104,1
05001,1,0500110000000001010320,20,05001100000000010103,6.2950045,-75.54684005,1
05001,1,0500110000000001010321,126,05001100000000010103,6.2949873,-75.54735256,1
05001,1,0500110000000001010322,38,05001100000000010103,6.2946435,-75.54749621,1
05001,1,0500110000000001010323,57,05001100000000010103,6.29694659,-75.54664599,1
05001,1,0500110000000001010324,88,05001100000000010103,6.29605575,-75.54677803,1
05001,1,0500110000000001010325,30,05001100000000010103,6.29613699,-75.54707837,1
05001,1,0500110000000001010326,3,05001100000000010103,6.29429994,-75.54603479,1
05001,1,0500110000000001010327,68,05001100000000010103,6.29460216,-75.54644465,1
05001,1,0500110000000001010328,81,05001100000000010103,6.29529007,-75.54654577,1
05001,1,0500110000000001010329,17,05001100000000010103,6.2945077,-75.54730483,1
05001,1,0500110000000001010330,0,05001100000000010103,6.29460322,-75.54771418,1
05001,1,0500110000000001010331,22,05001100000000010103,6.29429022,-75.54777429,1
05001,1,0500110000000001010403,6,05001100000000010104,6.29547649,-75.5423674,1
05001,1,0500110000000001010406,148,05001100000000010104,6.29489612,-75.54253286,1
05001,1,0500110000000001010409,124,05001100000000010104,6.29758029,-75.54320646,1
05001,1,0500110000000001010411,89,05001100000000010104,6.29497086,-75.54200829,1
05001,1,0500110000000001010412,49,05001100000000010104,6.29531346,-75.54168616,1
05001,1,0500110000000001010416,101,05001100000000010104,6.29413536,-75.54213816,1
05001,1,0500110000000001010417,39,05001100000000010104,6.29389291,-75.54159064,1
05001,1,0500110000000001010418,48,05001100000000010104,6.29571047,-75.54298528,1
05001,1,0500110000000001010421,97,05001100000000010104,6.29630594,-75.54319219,1
05001,1,0500110000000001010422,49,05001100000000010104,6.29444255,-75.54278309,1
05001,1,0500110000000001010423,66,05001100000000010104,6.29494363,-75.54137632,1
05001,1,0500110000000001010426,116,05001100000000010104,6.29620096,-75.54265223,1
05001,1,0500110000000001010427,223,05001100000000010104,6.29631377,-75.54185564,1
05001,1,0500110000000001010428,183,05001100000000010104,6.29646714,-75.54257537,1
05001,1,0500110000000001010501,45,05001100000000010105,6.29350429,-75.54177714,1
05001,1,0500110000000001010502,53,05001100000000010105,6.29363441,-75.5424694,1
05001,1,0500110000000001010503,0,05001100000000010105,6.29320153,-75.54230692,1
05001,1,0500110000000001010504,65,05001100000000010105,6.29273993,-75.54238062,1
05001,1,0500110000000001010505,93,05001100000000010105,6.29334596,-75.5430148,1
05001,1,0500110000000001010506,46,05001100000000010105,6.29406196,-75.54312162,1
